id,name,username
1511753553991319554,Ashley Wong,ashleyw_01
75694628,Oscar Palomino,opehache
866467558114852864,Manticore Search,manticoresearch
1567090664982171648,CD06,Charlot09582698
1171719054433718272,Tomoaki Kinjo,tkinjo8
1594038454316310528,Benjamin Borg,OCamBen
4387129655,Daniel Zammit,dzamm20
1589579946304933888,Adel Ferrito,adel_ferrito
1591313753315885058,Tablets & More,RoderickFarrug3
1546245339186880517,OFFICE OF THE NATIONAL YOUTH PRESIDENT NSM,dakat_m
1475017275375820805,Damian Paul Cassar,DamianPaulCass1
1496562611512557571,Ethan Zammit,ijtanz
51417431,Joseph,joseph_trapani
1277602001929601024,ruanchaves,ruanchaves93
948983299699101697,A Mad Deus,horzyk_amadeusz
372484220,Stefan Cutajar,stefancutajar
1351564114544496642,Mehnaz Qureshi,qureshimeh
1468062631193763841,boyuan ma,boyuanmby
1280142008070307843,Ryan-Rhys Griffiths,Ryan__Rhys
4916567983,Fanwang Meng,FanwangMeng
1178961178233573377,Javier Pardo Díaz,JavierPardoDiaz
1392982545352978432,Manas Mahale,manas_mahale
637188132,Brennan Abanades,brennanaba
1306967665890807808,ForensicNews,forensicnewsit
1237359949094813696,Giorgio Grigolo,G10rg10Gr1g010
1199058640944152578,Markus Ferdinand Dablander,MDablander
809273977,Sarah Robinson,SarahRobinson07
1432688416752287750,Yiorgos Kalantzis,YiorKalantz
1340218995685937156,Tobias Hegelund Olsen,HegelundOlsen
1521467982593118214,Lucy Vost,LucyVost
899289430585901056,Oliver M. Crook,OllyMCrook
144263164,Lyuba Bozhilova,lbozhilova
14135227,"Mary Ebejer, PhD",mebejer
18964170,Vince Vatter,VinceVatter
1567193113399001093,Maria Desira,MariaDesira6
1002765550362222592,Carlos Outeiral,c_outeiral
1472478787585650691,Gianluca Calabretta,Brettu787
1562337323001729031,vickymohamend,vickymohamend
2929828930,Gerard Tabone,GerardTabone
753206365,pino,lact0se_frEe
1536453165272518658,Elizabeth Brooks,Elizabeth_Mae_B
1216347410995089409,Jonny Hsu,hsu_jonny
1026112447264907265,Yajun Liu,xiaoheilong1
1552976465272111104,Paul Said,paulsaid_83
2396476963,The Wise One,EVILrokzz
1523324875108192257,Tonio Bezzina,TonioBezzina
767361706100199424,Clive,CliveSci
1154323766413025280,Tony Montananaro,TMontananaro
1828594134,Nicholas,nicborg91
978999934660857857,Carmel Id-DruGo Said,DrugoId
1502365163034447873,Neil,neilnborg
999251270966837248,Nurlybek Amangeldiuly,molspace
1543623003275202566,.,mynameisnotgino
100791951,BioInteractive,BioInterativa
929389253964025857,germy,big14hundred
3975288142,Skeptical Empiricist,skept_emp
1526810683257536512,Bioinformatics Creed 🔥,BioinfoCreed
1532113569986146305,Kim Archer,KArcherNPS
2789804133,Matthew Aquilina,matt_aqui
14364522,Cam Linke,camlinke
2612710249,"H Eddie Newton, MS Data Analytics",choognewton
506157182,Zach Sciberras,ZachScibi1
518860347,Dadu,dits300
1484223237550755842,Nils Weskamp,NilsWeskamp
148331791,Mindspace Outsourcing,ms_bookkeeping
163889348,Mark D,markbiwwa
40442193,Lord Steve of Toffeeland,marrtoffee
152787114,Alex Moura,_Alex_Moura
1600796300,Bob Kuhn,KuhnboBio
726242382,Roderick Vella,rodvella17
1016031659391705088,Minozen,Minozennn
2784590329,Luca Muscat,LucaMuscat
1417475847221616645,Jacques Vella Critien,vcjacques
1196653324570902528,Stephanie Bezzina Wettinger,StephanieBezzi1
1495507453148028935,inzaniak_medium,InzaniakM
1476830467483709440,Cloud Genomics Training,CloudGenomics
1120098662930055169,Yasmine Ellul,YasmineEllul
